id,secure_code,airline,departure_city,departure_date,arrival_airport,arrival_city,arrival_time,passenger_name,passenger_gender,seat_number,currency,departure_gate,flight_status,co_pilot_name,aircraft_type,fuel_consumption
1022,01H4EEMMYH37V1QNE8WG160KYH,American,Ngarus,9/7/2022,KOX,Takehara,6/7/2023 06:17,Gwenny Relton,Female,C3,IDR,A1,Delayed,Colleen Burford,Airbus A320,1261.98
1023,01H4EEMMYNCCGASKBCANPJM35C,American,Banjar Yehsatang,29/12/2022,QFX,Kaffrine,6/7/2023 07:22,Augustina Chadbourne,Female,A1,IDR,A1,Delayed,Pier Lefeuvre,Boeing 737,6188.93
1024,01H4EEMMYS5X689TKVPHQDQDD5,Delta,Cikijing,16/12/2022,LNR,Oświęcim,6/7/2023 22:58,Lovell Hyams,Male,C3,IDR,A1,Delayed,Jarrad Greatham,Embraer E190,4179.64
1025,01H4EEMMYXJXEDRF95M1MDG2RY,Delta,Gevgelija,18/7/2022,NLI,Nakhon Pathom,6/7/2023 07:08,Callida Myall,Female,A1,MKD,A1,Delayed,Susanetta Fontanet,Airbus A320,3837.22
1026,01H4EEMMZ0HSVBZREJS2PM98ZW,American,Neklyudovo,4/10/2022,MUD,Jantake,6/7/2023 10:00,Claudius Mountcastle,Polygender,B2,RUB,C3,On Time,Gloriana Katte,Embraer E190,4797.68
1027,01H4EEMMZ35EX779C84EJPCSKC,United,Bendosewu,10/7/2022,BCJ,Horki,6/7/2023 12:55,Merell Theodoris,Male,B2,IDR,C3,Cancelled,Georgi Lamyman,Boeing 737,7709.84
1028,01H4EEMMZ5G1N4E8Q99K1702WV,United,Aubervilliers,26/12/2022,BMX,Hasuda,6/7/2023 17:10,Armando Tremouille,Male,A1,EUR,A1,Cancelled,Schuyler Read,Embraer E190,6437.83
1029,01H4EEMMZ8DMPMYEXMQ9YV1RXD,American,Desa Borogojol,14/10/2022,PRD,Idfu,6/7/2023 17:33,Noe Riep,Male,C3,IDR,C3,Delayed,Gauthier Gregon,Boeing 737,4772.66
1030,01H4EEMMZB1955YVQG5WXN82WC,United,Forshaga,18/1/2022,XCL,Maasin,6/7/2023 09:53,Eunice Mulberry,Female,A1,SEK,A1,On Time,Tiffy Thorpe,Airbus A320,6829.11
1031,01H4EEMMZEPYX9GW5XVA29Z9BR,Delta,Montpellier,17/8/2022,CNU,Huanghai,6/7/2023 18:38,Roseann Bolzmann,Female,C3,EUR,A1,Delayed,Meta Longson,Boeing 737,6374.0
1032,01H4EEMMZHCXTTFQVX68TXKASB,Delta,Yangxi,15/11/2022,AOD,El Kef,6/7/2023 16:52,Layney Chappel,Female,A1,CNY,A1,Delayed,Barbra Cuseick,Airbus A320,5295.28
1033,01H4EEMMZT8XFKR87N8H31T2HA,United,Roanoke,30/7/2022,PNG,Västerhaninge,6/7/2023 07:42,Garrick Duckworth,Male,A1,USD,A1,Delayed,Ly Yakovlev,Airbus A320,1327.33
1034,01H4EEMMZXWB8MCNAKGRV0H31G,United,Leifeng,18/11/2022,IXI,Cikulahan,6/7/2023 21:39,Madelina Tynemouth,Female,C3,CNY,B2,On Time,Fifine Iacapucci,Airbus A320,8953.76
1035,01H4EEMN00PN8VKSMK2GCXE7HS,Delta,Tha Bo,2/8/2022,VIG,Sawara,6/7/2023 18:09,Aleksandr Addicott,Male,B2,THB,C3,On Time,Otto Leming,Airbus A320,6235.36
1036,01H4EEMN03Z80WZ2G864QJQMBH,Delta,Ilare,27/4/2022,LCB,Umbulan,6/7/2023 12:17,Bentley Sherborne,Male,B2,NGN,A1,On Time,Thedrick Jerok,Airbus A320,7605.27
1037,01H4EEMN06M1B52PPS69T4FDE1,American,Villiers,27/10/2022,ROY,Heku,6/7/2023 17:17,Sarah Pollastro,Female,C3,ZAR,A1,Delayed,Darda McLarnon,Boeing 737,2410.12
1038,01H4EEMN095XT1PZ2MV8N57MMR,American,Pendolo,22/5/2022,KEQ,Yangji,6/7/2023 04:33,Julio Delea,Male,A1,IDR,B2,Cancelled,Patrizio Sibbet,Embraer E190,7789.44
1039,01H4EEMN0C3ZAV75GM48R27DTW,American,Colares,21/6/2022,SRJ,Garahaji,6/7/2023 13:08,Tony Pimm,Female,A1,EUR,B2,On Time,Elfrieda Chicotti,Boeing 737,4584.83
1040,01H4EEMN0F887JFTBNZKZV5RK4,United,San Clemente,4/6/2022,KII,Torres,6/7/2023 23:11,Ferdinanda Cleve,Female,C3,PEN,B2,Cancelled,Daniele Scholes,Airbus A320,6544.54
1041,01H4EEMN0JC53JAFEJWC90Y1BS,United,Alor Setar,14/5/2022,PBF,Jadi,6/7/2023 14:20,Cobbie Reynalds,Male,C3,MYR,A1,Delayed,Rudiger Swadlin,Boeing 737,6871.59
1042,01H4EEMN0NTDKS4A59FA00TTF1,United,Fëdorovskoye,18/12/2022,LEE,Lingtou,6/7/2023 18:52,Edward Sans,Male,C3,RUB,C3,On Time,Niel Worvell,Embraer E190,8107.67
1043,01H4EEMN0R2EJ2D0GAT2D6NB4B,United,Lewodoli,26/12/2022,PXO,Grecheskoye,6/7/2023 08:22,Brier McGannon,Genderfluid,C3,IDR,C3,On Time,Kanya Ashleigh,Boeing 737,8720.39
1044,01H4EEMN0VQTV06RJ3FJ3FMWXH,Delta,Pingfeng,23/11/2022,HAA,Mikuni,6/7/2023 23:39,Marika Hawkyens,Female,B2,CNY,A1,Delayed,Mignonne Matterface,Embraer E190,4944.59
1045,01H4EEMN0ZQ0F3BZM675AA44PY,Delta,Cogon,27/10/2022,BKJ,Kamakura,6/7/2023 00:10,Brenden McNamara,Male,C3,PHP,B2,On Time,Marcellus Charter,Embraer E190,3157.59
1046,01H4EEMN1326N88689442B0ET3,United,Mniszków,2/1/2022,XTG,Podstrana,6/7/2023 20:32,Bryanty Phillipp,Male,B2,PLN,C3,Delayed,Hobey Mincini,Embraer E190,4396.75
1047,01H4EEMN17T4JA2DCRNYWVY5R4,Delta,Briteiros Santa Leocádia,19/10/2022,XPP,Sande São Lourenço,6/7/2023 03:10,Giuditta Ostick,Agender,C3,EUR,B2,Cancelled,Vinita Rymer,Boeing 737,7614.76
1048,01H4EEMN1B941J8ZKPFVVXQ4Q6,Delta,Wanglinkou,6/3/2022,LXN,Jiuhu,6/7/2023 14:05,Rebecca Harbar,Female,C3,CNY,A1,Delayed,Angeline Levicount,Airbus A320,4387.57
1049,01H4EEMN1F0PDEK5RQC7AYP63Y,American,Moglicë,10/6/2022,BDE,Warsaw,6/7/2023 00:05,Brander Andryushin,Male,C3,ALL,B2,Delayed,Gibb Watkiss,Boeing 737,9449.49
1050,01H4EEMN1KN5E28C7BQ35PEA30,Delta,Ban Na,5/11/2022,SXR,Tala,6/7/2023 06:16,Brock Faithfull,Male,A1,THB,B2,Delayed,Giorgio Erskine,Embraer E190,2345.48
1051,01H4EEMN1Q92BA5XTPVDKFNTP4,American,Kambia,3/2/2022,HYC,Dimataling,6/7/2023 06:32,Alf Chong,Male,C3,SLL,A1,Cancelled,Connor Vaney,Boeing 737,6096.62
1052,01H4EEMN1V8AYW3P0BVDYHCCBW,Delta,Dinan,29/3/2022,YGM,Sufālat Samā’il,6/7/2023 07:48,Luelle Kingswoode,Genderfluid,A1,EUR,C3,Cancelled,Marna Powles,Boeing 737,6901.84
1053,01H4EEMN1ZS8G2F6K0734RQEPA,American,Quellouno,13/5/2022,YMK,Navariya,6/7/2023 23:22,Vinita Hubball,Female,C3,PEN,A1,Delayed,Carina Boobier,Embraer E190,1048.53
1054,01H4EEMN22F9M04KXA933VE0R8,Delta,Vestmanna,6/9/2022,SJF,Shimokizukuri,6/7/2023 23:33,Ludovika Yurchenko,Female,A1,DKK,C3,Cancelled,Sibella Belt,Embraer E190,4452.46
1055,01H4EEMN25TP7FNW5Y303X5QEA,United,Lianovérgi,15/6/2022,VIL,Sukakarya,6/7/2023 16:40,Vivyanne Kropach,Female,C3,EUR,B2,Cancelled,Adore Swainger,Boeing 737,1151.52
1056,01H4EEMN2827TBQEWPB5F3AM21,Delta,Baizhifang,4/4/2022,MFB,Manoc-Manoc,6/7/2023 13:32,Manny O'Cridigan,Agender,C3,CNY,C3,On Time,Celestyna Ganing,Embraer E190,7014.14
1057,01H4EEMN2B28JG8E2RSCCCE15Q,American,Bagulin,30/10/2022,RNU,Pokrovka,6/7/2023 08:57,Cordy Fellow,Male,A1,PHP,C3,On Time,Lucien Duke,Boeing 737,1860.84
1058,01H4EEMN2E5SWA15SJQ5B2TPJ8,American,Rzhev,6/2/2022,UGS,Changtan,6/7/2023 01:03,Dominic Ibbetson,Male,A1,RUB,B2,On Time,Rodrick Sayward,Airbus A320,2457.73
1059,01H4EEMN2J9SBWBNZC2WKQ9QY8,United,Ban Dan,24/6/2022,TLP,Mellila,6/7/2023 12:25,Pasquale Camellini,Male,B2,THB,C3,Cancelled,Fabian Klamman,Embraer E190,1382.94
1060,01H4EEMN2NWVVJNYEM5NS4E6A0,American,Rudnya,29/10/2022,REL,Muquiyauyo,6/7/2023 20:10,Antoni Diamant,Male,C3,RUB,C3,On Time,Garvey Coopey,Embraer E190,9708.75
1061,01H4EEMN2RM6JP9TWVSNJX5WSP,Delta,Memphis,4/3/2022,MZA,Segodim,6/7/2023 06:54,Darrin Maidstone,Male,A1,USD,C3,On Time,Pierce Pothecary,Embraer E190,4886.11
1062,01H4EEMN2VPW1ADZP1FD9B1VJB,American,Mukacheve,18/9/2022,ANO,San Francisco,6/7/2023 03:45,Aileen Baldry,Genderfluid,B2,UAH,B2,Cancelled,Elisabeth Enrich,Boeing 737,6634.54
1063,01H4EEMN2YFZ7VXX8FGK04AMC9,Delta,Popasna,21/1/2022,CHY,Boawae,6/7/2023 20:23,Giles Broyd,Male,B2,UAH,C3,Cancelled,Vick Bourton,Airbus A320,6233.85
1064,01H4EEMN31HB84CPJBYWMANPM3,Delta,Karanganyar,9/3/2022,AEO,Nogueira,6/7/2023 06:57,Amelia Godsil,Female,C3,IDR,C3,Delayed,Jenn Inmett,Airbus A320,8042.08
1065,01H4EEMN34SMWBYDRG5G8SRPPT,American,Símantra,2/8/2022,WSH,Bến Tre,6/7/2023 18:05,Laurianne Hendrikse,Female,A1,EUR,A1,On Time,Barry Brookwell,Boeing 737,7712.41
1066,01H4EEMN37DR8C1CYHGS8YB5FJ,American,Huangliu,4/11/2022,NDK,Ewarton,6/7/2023 21:49,Laurianne Brumham,Female,B2,CNY,A1,Cancelled,Emyle Slavin,Airbus A320,2257.13
1067,01H4EEMN3AJ6M2QYR704289XV6,Delta,Brits,20/8/2022,JDG,Tijucas,6/7/2023 01:54,Liane Rennels,Female,B2,ZAR,C3,Cancelled,Devin Defond,Boeing 737,5832.76
1068,01H4EEMN3DVCKFVMM3CV3QWJG0,United,Magang,15/2/2022,KST,Kokagax,6/7/2023 17:26,Kelila Ransbury,Genderfluid,C3,CNY,A1,On Time,Tally Smidmor,Boeing 737,3349.97
1069,01H4EEMN3H82CFYMPWXS3DXW8V,United,Khao Kho,12/6/2022,OMO,Penha,6/7/2023 06:13,Stefano Cracoe,Male,B2,THB,C3,Delayed,Peadar Dunsford,Embraer E190,3408.75
1070,01H4EEMN3MDCD12K3B51FSNSA1,Delta,Diaoluoshan,23/7/2022,LTK,Kowang Utara,6/7/2023 06:17,Rip Roller,Male,C3,CNY,B2,Delayed,Moe Mc Andrew,Embraer E190,1325.56
1071,01H4EEMN3Q6G3EF3YVRP986HK9,United,Itamaraju,7/10/2022,TGP,Wentai,6/7/2023 01:40,Meyer Fielder,Male,B2,BRL,C3,On Time,Cliff Hatchett,Airbus A320,3349.62
1072,01H4EEMN3TF0KNB0SDC2F8ND8R,United,Si That,16/12/2022,YXY,Lemery,6/7/2023 08:12,Grove Abramowsky,Male,B2,THB,B2,Cancelled,Barnabe Sissland,Boeing 737,9504.79
1073,01H4EEMN3XRPYAH28YEBWE32J9,American,España,28/8/2022,QPA,Ruše,6/7/2023 12:26,Shannon Eveque,Male,C3,PHP,B2,Delayed,Archibold Signorelli,Boeing 737,3489.05
1074,01H4EEMN41H95Y420S4K6JXM15,Delta,Yongning,3/6/2022,YPD,Brisbane,6/7/2023 19:40,Zena Caygill,Female,C3,CNY,A1,On Time,Rebecca Brasener,Boeing 737,6736.36
1075,01H4EEMN44GQWBSVE4CKEXP4NX,Delta,Lyubinskiy,8/7/2022,BEC,Wesoła,6/7/2023 23:44,Benji MacCafferky,Male,B2,RUB,A1,Cancelled,Nolly Trowl,Airbus A320,1299.97
1076,01H4EEMN475B67MDZ6HE2EGG0W,Delta,Yangkou,27/11/2022,PDB,Abakaliki,6/7/2023 18:06,Ezequiel Pennuzzi,Polygender,A1,CNY,B2,On Time,Teodora Cahan,Airbus A320,4828.85
1077,01H4EEMN4AZR4QSVTWKR7WX2D8,Delta,San Salvador,2/2/2022,WLE,Ludza,6/7/2023 09:35,Alley Lukehurst,Male,C3,PEN,A1,Cancelled,Vito Yeowell,Airbus A320,4368.91
1078,01H4EEMN4DJ48HG56A5FB6XCNQ,Delta,El Mirador,27/12/2022,SVO,Sosnowiec,6/7/2023 02:31,Cornela Cuttler,Female,B2,MXN,B2,Delayed,Ranice Pashan,Boeing 737,5664.76
1079,01H4EEMN4G8G5RJ98DMF11SNB9,United,Sukhobuzimskoye,6/3/2022,HAX,Zamarski,6/7/2023 02:52,Rafferty Heymann,Male,B2,RUB,A1,On Time,Mischa Bauckham,Airbus A320,5163.11
1080,01H4EEMN4K0YD31BXT6GVFE2JP,Delta,Mulan,3/4/2022,KSQ,Miłakowo,6/7/2023 07:32,Udale Warke,Male,A1,CNY,B2,On Time,Reinhold Corroyer,Airbus A320,7047.02
1081,01H4EEMN4PKAHAJKPDKBRYDKSY,Delta,Lagoa do Itaenga,21/11/2022,KGS,Beauceville,6/7/2023 04:28,Chen Walker,Male,C3,BRL,A1,On Time,Marlo Keysall,Airbus A320,1027.01
1082,01H4EEMN4SYP9K6J7EDSSWWHGT,United,Kedawung,23/3/2022,DNU,Qingxi,6/7/2023 16:21,Mathe Revie,Male,B2,IDR,B2,Delayed,Bruno Ridgewell,Airbus A320,8777.83
1083,01H4EEMN4XER5W9QWQ7B0Q7A34,Delta,Lansing,22/3/2022,AKJ,Ivanteyevka,6/7/2023 02:04,Leicester Lyall,Male,C3,USD,C3,Cancelled,Trevar Boome,Embraer E190,4145.04
1084,01H4EEMN5078VC5QEQJH97P2CT,American,Zasip,7/6/2022,SEM,Gia Nghĩa,6/7/2023 22:42,Joyan Wallentin,Female,A1,EUR,C3,Cancelled,Carmelia Taunton,Boeing 737,3664.93
1085,01H4EEMN538JKNNS40X8DC9D74,Delta,Karangranjong,21/7/2022,YPE,Węgorzyno,6/7/2023 02:04,Leonidas Tynemouth,Male,A1,IDR,C3,On Time,Ewell Ley,Airbus A320,3629.31
1086,01H4EEMN56R5AZ5GZ8G94YZVWV,American,Orekhovo-Zuyevo,5/9/2022,STG,Subkowy,6/7/2023 00:34,Tessy Vanderplas,Female,B2,RUB,C3,On Time,Marabel Hof,Boeing 737,2095.31
1087,01H4EEMN59CVP9CF8AQ5SXAGX9,Delta,Podwilk,9/4/2022,SIB,Chian Yai,6/7/2023 21:06,Rem Pink,Polygender,C3,PLN,A1,Delayed,Adolph Hosten,Boeing 737,2014.79
1088,01H4EEMN5C84QB7PKMVZ7K1MTN,Delta,Postira,17/7/2022,FUN,Yerofey Pavlovich,6/7/2023 13:19,Gregor Surcomb,Male,A1,HRK,C3,On Time,Alano Allwood,Boeing 737,3950.0
1089,01H4EEMN5GYRWH1K6J90C7GYZK,Delta,Ayamaru,14/10/2022,DCY,Cruz de los Milagros,6/7/2023 01:44,Alexandre Hachette,Non-binary,A1,IDR,A1,Cancelled,Almire Roncelli,Airbus A320,7880.82
1090,01H4EEMN5K7XB7QAT2NERMDY1F,United,Jingmao,25/7/2022,TQQ,Lamont,6/7/2023 13:52,Jasmin Philbrook,Female,C3,CNY,B2,On Time,Starlene Happer,Embraer E190,2324.01
1091,01H4EEMN5PA2AHBKCVQX8YTKAG,Delta,Al Manzilah,28/2/2022,ANA,Gravatá,6/7/2023 06:15,Law Buchan,Male,A1,EGP,A1,Cancelled,Michel Haldin,Boeing 737,6036.04
1092,01H4EEMN5SMK8QSAJB9M9GT9R0,Delta,Mulatupo,22/5/2022,COT,Leiling,6/7/2023 20:11,Jill Quarrell,Female,C3,PAB,B2,On Time,Laverna Seymour,Boeing 737,9838.95
1093,01H4EEMN5WM8B5ZFMH0X82YFC9,American,Hengshan,4/9/2022,SQZ,Yangwei,6/7/2023 00:30,Arvy Lago,Bigender,C3,CNY,B2,Cancelled,Tedie De Brett,Boeing 737,9860.93
1094,01H4EEMN5ZCPH89QF4WEDZZRTF,American,Kertasari,5/3/2022,XBJ,Las Palmas,6/7/2023 11:39,Jeff Vouls,Male,A1,IDR,B2,Delayed,Whit Britzius,Embraer E190,6297.2
1095,01H4EEMN620QGKV0BJ0WX6XYB9,United,Benisheikh,21/5/2022,BNN,Taznakht,6/7/2023 22:21,Chaddy Hursey,Male,B2,NGN,B2,Cancelled,Boigie Sewards,Embraer E190,3163.32
1096,01H4EEMN65PHYM46Y0TGXQZ90B,Delta,Berestechko,12/3/2022,BWK,Chaeryŏng-ŭp,6/7/2023 07:17,Nicolis Horbart,Bigender,A1,UAH,A1,Delayed,Meris Mc Menamin,Embraer E190,8054.22
1097,01H4EEMN6863Y4J3DRM4TDDCPZ,American,Grevená,18/12/2022,ATZ,Randfontein,6/7/2023 14:59,Munmro Blanchflower,Male,C3,EUR,B2,On Time,Conan Rix,Embraer E190,4526.04
1098,01H4EEMN6C7G4ASX9HYEH5CP59,United,Shuangmiaojie,17/3/2022,EKT,Huaihe,6/7/2023 20:28,Ava Garretson,Female,B2,CNY,C3,On Time,Wilhelmina Tyers,Airbus A320,2659.38
1099,01H4EEMN6FDHW6PSQ6VTDX1SRP,American,eSikhawini,30/4/2022,TVY,Guingamp,6/7/2023 22:49,Bambie Kattenhorn,Female,B2,ZAR,B2,On Time,Fionna Rottery,Airbus A320,9281.5
1100,01H4EEMN6J5YFTT2NGNVVWXWTB,United,Glyadyanskoye,30/10/2022,TZA,Adil Makmur,6/7/2023 12:39,Bruno Ambrosini,Male,B2,RUB,B2,On Time,Mortie Fleischer,Embraer E190,9295.26
1101,01H4EEMN6NPM8KRN1CP0297685,Delta,Jiaocheng,8/11/2022,CPU,Cajamarca,6/7/2023 13:55,Mervin Vearncombe,Male,B2,CNY,B2,On Time,Gannon Lafaye,Boeing 737,4525.48
1102,01H4EEMN6R4P8FT8ZSEN6MGHMH,Delta,Tha Bo,22/6/2022,TIP,Mubende,6/7/2023 06:17,Benji Munroe,Male,C3,THB,B2,Cancelled,Taite Ashmore,Boeing 737,1603.11
1103,01H4EEMN6VRZGZ88XZKDWFWVVS,Delta,Padre Paraíso,10/11/2022,LFM,Laranganglintong,6/7/2023 04:55,Joelly Flowerdew,Female,A1,BRL,A1,Cancelled,Beverie Gerhts,Airbus A320,7064.34
1104,01H4EEMN6YEV4AVEHXAVS7T5ZA,Delta,Mayo,19/11/2022,KGU,Chiclayo,6/7/2023 22:14,Stanislas Wynn,Male,C3,THB,A1,Cancelled,Carroll Plunket,Airbus A320,2256.35
1105,01H4EEMN71B4HGWYFTM406473P,American,København,30/11/2022,RCU,Hénin-Beaumont,6/7/2023 09:15,Hartley Neem,Male,C3,DKK,A1,Cancelled,Axe Borgne,Airbus A320,8207.83
1106,01H4EEMN75ZAZSKCKFAHMGRXM3,United,Vitoria-Gasteiz,29/3/2022,YCO,Mchinji,6/7/2023 04:27,Sergeant Woodeson,Male,C3,EUR,C3,Delayed,Jim Seer,Embraer E190,6570.49
1107,01H4EEMN78NXYY5F9RBKH7R8VW,American,Stockholm,17/4/2022,KHU,Shanlian,6/7/2023 20:00,Esra Francesconi,Male,C3,SEK,A1,Delayed,Creight Lanfranconi,Boeing 737,9868.99
1108,01H4EEMN7B1XVYVJXFX388DRP1,United,Zhuangshi,26/7/2022,PSP,Tarakan,6/7/2023 14:57,Antoinette Westcot,Female,A1,CNY,C3,Cancelled,Mady Obee,Airbus A320,3520.24
1109,01H4EEMN7ESPW8W3ZZYP1R4NNJ,United,Medan,26/6/2022,BKB,Frederiksberg,6/7/2023 09:00,Nancy Bristow,Female,B2,IDR,B2,On Time,Sibylle Hampton,Boeing 737,7048.72
1110,01H4EEMN7HHMM6C2FXX5JQJP4C,United,Spuž,21/7/2022,YER,Wako,6/7/2023 18:21,Daniella Juschke,Female,B2,EUR,C3,On Time,Darsey Rodda,Boeing 737,3914.91
1111,01H4EEMN7ME255KRN2HARMH8T9,Delta,Ala,18/9/2022,LRM,Wang Sam Mo,6/7/2023 14:52,Valli Hanway,Female,B2,CNY,B2,Cancelled,Rozella Molder,Boeing 737,1151.9
1112,01H4EEMN7QT1BGEV8F651CAB4X,United,Eṭ Ṭaiyiba,16/4/2022,OAZ,Soroti,6/7/2023 03:16,Antone McGaughie,Male,A1,ILS,C3,Cancelled,Conroy Blackney,Airbus A320,5791.71
1113,01H4EEMN7TVKJF30F9VZ8PTAQS,United,El Sombrero,2/1/2022,EDK,Néa Mákri,6/7/2023 02:34,Shelli Heffernan,Female,A1,VEF,C3,Cancelled,Leontine Bachs,Embraer E190,1489.25
1114,01H4EEMN7XVVZZ36VZWBFRGASW,United,Bluff,5/3/2022,GGW,Góra,6/7/2023 07:42,Brietta Mesnard,Female,C3,NZD,C3,Cancelled,Philippa Elson,Embraer E190,1812.2
1115,01H4EEMN80W3BYKFECKDW8Q0YR,Delta,Grygov,7/5/2022,BMS,Paobokol,6/7/2023 01:24,Ainslie Rackstraw,Female,C3,CZK,C3,Cancelled,Peggie Shillingford,Airbus A320,9288.85
1116,01H4EEMN83ZNG8KEBQT9E83FD9,United,Cravinhos,13/12/2022,KEF,Jacksonville,6/7/2023 18:53,Delilah Petch,Female,B2,BRL,B2,Delayed,Celeste Farnell,Boeing 737,3363.04
1117,01H4EEMN86V6EPQ8SC5NGJ24H7,American,Charlemagne,26/4/2022,MTD,Kujama,6/7/2023 12:46,Amy Ashwell,Female,C3,CAD,C3,Delayed,Alexia Roll,Airbus A320,3373.37
1118,01H4EEMN89ZT00V9NBB9GVQ2FH,United,Dipayal,11/3/2022,EAU,Clervaux,6/7/2023 18:54,Eloisa Zuan,Female,C3,NPR,B2,Cancelled,Kathi Pietrusiak,Airbus A320,7737.7
1119,01H4EEMN8DSSAVCF2SP4K8RAPH,Delta,Daji,30/10/2022,WSM,Salavan,6/7/2023 17:35,Gwyneth Prestney,Female,B2,CNY,C3,Cancelled,Ardelia Marousek,Boeing 737,9097.78
