B,pet_name,pet_type,breed,age,weight,color,birth_date,owner_name,owner_email,owner_address,owner_city,owner_state,owner_country,owner_postal_code,vaccinated,neutered,microchip_id,vet_name,vet_phone,groomer_name,groomer_phone,food_brand,food_quantity,food_frequency,exercise_duration,exercise_frequency,sleep_duration,temperament,favorite_toy,favorite_treat,grooming_needs
12,Cullie,bird,Parakeet,3,23.9,orange,4/23/2019,Cullie Prime,cskewesb@virginia.edu,76 Buhler Circle,Satowebrang,,Indonesia,,false,true,8546257219,Cullie Champneys,728-609-5762,Cullie Skewes,867-162-0144,Purina,8.21,once a day,72.7,weekly,19.1,friendly,chew toy,catnip,high
13,Darbie,dog,Parakeet,16,90.3,orange,8/1/2012,Darbie Feaveryear,dcarlec@nytimes.com,7058 Morrow Avenue,Baz,,Albania,,false,true,5294469892,Darbie Manuel,784-800-7113,Darbie Carle,922-990-2401,Iams,2.49,once a day,108.4,daily,20.1,energetic,chew toy,fish flakes,moderate
14,Giavani,fish,Holland Lop,20,43.2,black,4/29/2021,Giavani Rough,ghassurd@ask.com,8943 Ruskin Way,Tournai,Wallonie,Belgium,7536,false,true,3373726537,Giavani Birkin,696-413-2844,Giavani Hassur,219-661-9822,Blue Buffalo,1.14,twice a day,98.6,weekly,8.8,shy,laser pointer,dog biscuit,high
15,Hatty,cat,Parakeet,8,90,white,5/4/2008,Hatty Cheasman,helcouxe@prlog.org,4132 Hudson Lane,Drochia,,Moldova,MD-5233,true,true,9685853741,Hatty Sundin,390-824-5972,Hatty Elcoux,245-173-6307,Hill's Science Diet,9.83,once a day,19.8,3 times a week,2.6,shy,laser pointer,catnip,high
16,Ottilie,rabbit,Labrador Retriever,17,16.5,gray,4/24/2004,Ottilie Webbe,ojantotf@npr.org,2 Nelson Road,Borovichi,,Russia,174420,true,true,3832419309,Ottilie Baldacco,831-516-8836,Ottilie Jantot,261-625-0763,Blue Buffalo,9.89,once a day,24.9,weekly,4.7,playful,feather wand,catnip,high
17,Vinnie,dog,Goldfish,14,71.1,gray,9/18/2008,Vinnie Coulton,vbriffettg@mapy.cz,22050 Cardinal Avenue,Binonga,,Philippines,6116,true,true,2310814429,Vinnie Petzold,721-977-5529,Vinnie Briffett,978-775-0766,Royal Canin,6.54,three times a day,20.1,weekly,3.5,energetic,feather wand,carrot,low
18,Liz,bird,Labrador Retriever,11,57.4,brown,4/9/2019,Liz Killough,lbatth@cnn.com,827 Lukken Way,Wabana,Newfoundland and Labrador,Canada,V7X,false,true,7867804739,Liz Deinhard,609-537-1044,Liz Batt,885-407-8706,Purina,3.37,twice a day,23,3 times a week,8.1,playful,stuffed animal,carrot,high
19,Tam,bird,Siamese,9,3.6,white,7/25/2002,Tam MacMychem,ttenbyi@oaic.gov.au,87 Novick Crossing,Wichian Buri,,Thailand,67130,true,true,9398224371,Tam Salerg,367-256-3637,Tam Tenby,424-835-9846,Blue Buffalo,3.32,twice a day,58.3,3 times a week,19.7,shy,chew toy,fish flakes,moderate
20,Marylou,cat,Holland Lop,9,81,white,5/30/2021,Marylou Rolston,martinstallj@dyndns.org,9 Thierer Junction,Xingcheng,,China,,false,false,9446554366,Marylou McKee,656-194-7739,Marylou Artinstall,554-753-8226,Blue Buffalo,6.83,twice a day,40.2,3 times a week,15.1,shy,chew toy,fish flakes,moderate
21,Sadye,rabbit,Goldfish,17,89,orange,11/11/2005,Sadye Holwell,solenchikovk@discuz.net,3 Lien Point,Vilca,,Peru,,true,false,8344814234,Sadye Clapton,941-256-8631,Sadye Olenchikov,501-876-9328,Hill's Science Diet,7.22,three times a day,116.2,daily,16.1,playful,chew toy,carrot,high
22,Brittni,bird,Siamese,16,79.1,gray,10/27/2000,Brittni Tremblet,byeldhaml@vkontakte.ru,22234 Rowland Lane,Kattaqo’rg’on,,Uzbekistan,,false,true,2806471970,Brittni Sabberton,761-224-0836,Brittni Yeldham,431-570-3073,Purina,8.32,once a day,55.6,weekly,18.8,friendly,chew toy,dog biscuit,low
23,Constance,bird,Parakeet,19,63.4,white,2/7/2000,Constance Ramalhete,cpearnm@printfriendly.com,75371 Oak Valley Drive,Indaial,,Brazil,89130-000,true,false,6859995500,Constance McGrudder,626-372-5944,Constance Pearn,286-748-5876,Blue Buffalo,1.88,three times a day,12,weekly,9,energetic,chew toy,catnip,moderate
24,Cathlene,bird,Goldfish,15,68.8,gray,7/3/2006,Cathlene Birdseye,cmaccoughann@ask.com,13 Londonderry Point,Hwaseong-si,,South Korea,,false,true,7712245070,Cathlene Praundlin,845-350-5170,Cathlene MacCoughan,915-654-8669,Blue Buffalo,0.09,three times a day,106.3,weekly,10.5,friendly,laser pointer,fish flakes,moderate
25,Broddy,bird,Labrador Retriever,1,2.5,white,3/1/2007,Broddy Mandrey,bmco@ucoz.com,60 Carey Park,Bader,,Indonesia,,false,true,7069392469,Broddy Collick,979-876-2969,Broddy Mc Giffin,261-393-3460,Purina,7.42,twice a day,34.6,3 times a week,5.7,shy,chew toy,carrot,moderate
26,Melisse,fish,Goldfish,18,64,white,6/3/2012,Melisse Ife,mbattep@opera.com,99906 Ronald Regan Crossing,Mengmeng,,China,,true,false,1388495161,Melisse Frizell,217-756-8143,Melisse Batte,957-948-1447,Blue Buffalo,2.23,twice a day,13.8,3 times a week,18.3,energetic,laser pointer,bird seed,low
27,Dinnie,fish,Siamese,12,82.1,black,2/21/2005,Dinnie Rowlson,deulq@pcworld.com,5352 Bultman Alley,Parawan,,Indonesia,,false,false,2192440325,Dinnie Baline,382-890-7746,Dinnie Eul,463-178-8014,Iams,5.42,three times a day,58,daily,20.1,shy,laser pointer,catnip,low
28,Sig,bird,Labrador Retriever,11,85,black,4/27/2021,Sig Hazael,sgawthropr@ow.ly,48791 Bashford Terrace,Cumba,,Peru,,true,false,1252238658,Sig Byforth,810-924-6126,Sig Gawthrop,341-999-7606,Blue Buffalo,3.75,twice a day,18.4,daily,13.6,calm,ball,fish flakes,low
29,Conchita,bird,Siamese,5,21.4,gray,5/14/2007,Conchita Boarder,cdunstones@cbsnews.com,4 Corry Way,Jayune,,Peru,,false,true,7093954380,Conchita Gravett,484-738-6435,Conchita Dunstone,514-714-5529,Blue Buffalo,4.34,once a day,57.6,weekly,13,energetic,chew toy,catnip,high
30,Mick,rabbit,Holland Lop,17,83,white,4/21/2010,Mick Jorg,mortmannt@vinaora.com,22316 Coleman Pass,Zaytā,,Palestinian Territory,,true,false,2814423586,Mick McMenamy,893-267-4603,Mick Ortmann,925-836-1833,Iams,7.11,three times a day,35.5,weekly,4.1,calm,feather wand,catnip,low
31,Marnia,bird,Goldfish,18,77.2,gray,5/7/2010,Marnia Mandeville,mwoolamu@linkedin.com,6 Melrose Park,Břasy,,Czech Republic,338 24,false,true,9376144273,Marnia Boagey,575-882-2663,Marnia Woolam,565-931-6233,Purina,3.4,once a day,54.7,daily,6.4,shy,feather wand,bird seed,high
32,Rolfe,cat,Holland Lop,2,23,black,2/19/2014,Rolfe Sinkinson,rthormwellv@google.com,56 Northview Point,Ijuw,,Nauru,,true,true,4390570594,Rolfe Goode,703-540-8179,Rolfe Thormwell,221-275-8159,Iams,7.86,twice a day,102.6,daily,3.8,energetic,ball,carrot,low
33,Brett,fish,Siamese,16,86.5,gray,4/30/2010,Brett Atkins,bmacbreartyw@xinhuanet.com,216 Burrows Circle,Talakag,,Philippines,8708,false,false,6010835161,Brett Easthope,727-869-1668,Brett MacBrearty,305-660-1327,Royal Canin,5.57,once a day,67.9,3 times a week,15.2,shy,chew toy,fish flakes,high
34,Maurine,fish,Labrador Retriever,6,24.2,black,4/14/2000,Maurine Phillcock,mserginsonx@g.co,7 Bartelt Point,Nai Harn,,Thailand,40330,false,true,4752119772,Maurine Handsheart,705-128-6296,Maurine Serginson,305-882-3382,Royal Canin,0.62,three times a day,117,3 times a week,22.3,playful,chew toy,fish flakes,moderate
35,Gaye,rabbit,Parakeet,13,32.4,black,12/6/2009,Gaye Syrett,gannatty@scientificamerican.com,162 Lyons Terrace,Huangling,,China,,true,true,2716435758,Gaye Goodswen,330-804-0476,Gaye Annatt,291-602-9702,Blue Buffalo,0.67,three times a day,57.3,daily,16.4,calm,stuffed animal,bird seed,high
36,Neda,fish,Siamese,11,98.7,gray,10/30/2011,Neda Graves,nhatliffez@fema.gov,62 Nobel Place,Liuzhuang,,China,,false,true,8677451318,Neda McEvoy,870-844-3870,Neda Hatliffe,823-383-5939,Hill's Science Diet,0.56,twice a day,102.7,3 times a week,12.7,calm,stuffed animal,carrot,high
37,Micheal,fish,Labrador Retriever,10,36.7,brown,10/3/2020,Micheal Canas,mderrington10@aol.com,14 Ronald Regan Plaza,Corral de Bustos,,Argentina,2645,true,true,4859165904,Micheal Milillo,128-782-0211,Micheal Derrington,161-438-9212,Blue Buffalo,0.65,once a day,102.1,weekly,19.5,shy,ball,carrot,low
38,Tadeas,bird,Siamese,13,14,orange,11/24/2010,Tadeas McAllester,tmerrisson11@storify.com,7 Cody Trail,Kraskino,,Russia,692715,true,true,6572278699,Tadeas Aspell,630-876-2861,Tadeas Merrisson,417-469-2126,Hill's Science Diet,6.53,twice a day,23.4,weekly,20.9,shy,ball,dog biscuit,high
39,Yorgos,cat,Goldfish,19,31.6,brown,5/6/2007,Yorgos Guiduzzi,ydallow12@samsung.com,1244 Jay Point,Nangxian,,China,,false,false,9840216424,Yorgos Bakster,538-411-8754,Yorgos Dallow,117-912-4110,Hill's Science Diet,6.11,three times a day,7.4,3 times a week,3,playful,ball,catnip,low
40,Nikola,bird,Holland Lop,4,60.3,orange,8/9/2013,Nikola Woller,ndurante13@goo.ne.jp,062 Michigan Pass,Mambago,,Philippines,8118,true,true,2002489287,Nikola Mullinger,351-807-8700,Nikola Durante,334-261-6096,Purina,9.27,once a day,117.9,3 times a week,19.3,calm,chew toy,catnip,low
41,Arden,cat,Siamese,8,89.5,black,5/30/2022,Arden Casarili,apovele14@howstuffworks.com,008 Welch Crossing,Nice,Provence-Alpes-Côte d'Azur,France,06073 CEDEX 1,false,false,4669374809,Arden Hunte,272-846-5053,Arden Povele,735-276-4122,Purina,6.77,three times a day,58,3 times a week,19.4,playful,stuffed animal,carrot,low
42,Davide,cat,Siamese,8,81.2,black,1/11/2000,Davide Athow,dhealeas15@flavors.me,28 David Junction,Oksa,,Poland,28-363,true,false,6896377425,Davide Simoneschi,843-122-6921,Davide Healeas,671-138-6091,Purina,4.01,twice a day,15.7,daily,11.1,energetic,stuffed animal,bird seed,high
43,Saxe,dog,Goldfish,12,41.7,gray,7/16/2004,Saxe Ilem,samoss16@si.edu,5676 Elka Park,Liangshan,,China,,false,false,2852955228,Saxe Stracey,533-563-0819,Saxe Amoss,742-714-8385,Iams,0.87,once a day,43.1,daily,6,energetic,stuffed animal,carrot,low
44,Karol,dog,Holland Lop,1,57,brown,12/30/2007,Karol Smalman,kmillbank17@uol.com.br,69906 Sunnyside Circle,Danxi,,China,,true,false,4368678815,Karol Worner,493-848-4054,Karol Millbank,397-204-1079,Iams,8.89,three times a day,36.3,3 times a week,18,friendly,ball,fish flakes,moderate
45,Willetta,bird,Goldfish,2,40.8,orange,4/18/2005,Willetta Urion,wbotham18@elpais.com,03 Mccormick Road,Huazhu,,China,,false,true,2527589210,Willetta Whetnell,426-498-9940,Willetta Botham,201-203-4908,Royal Canin,2.18,three times a day,101.5,weekly,4.7,friendly,ball,catnip,low
46,Retha,fish,Parakeet,5,73,gray,1/12/2004,Retha Lazarus,ralfonsini19@geocities.jp,8 Lillian Lane,Shamva,,Zimbabwe,,true,false,2664035521,Retha Kondratyuk,860-357-0679,Retha Alfonsini,266-866-4642,Blue Buffalo,7.67,three times a day,14.6,daily,1.3,calm,stuffed animal,fish flakes,moderate
47,Ulberto,cat,Holland Lop,6,0.6,orange,8/17/2021,Ulberto Simmill,ukik1a@eepurl.com,2 Surrey Hill,Lashkar Gāh,,Afghanistan,,true,false,8235438007,Ulberto Peppard,638-952-1680,Ulberto Kik,361-242-5505,Blue Buffalo,6.26,once a day,57.3,weekly,8.7,playful,laser pointer,catnip,high
48,Wilona,fish,Holland Lop,19,25,orange,6/23/2006,Wilona Death,wwilkins1b@dropbox.com,72956 Reinke Trail,Kimaam,,Indonesia,,true,true,9593757918,Wilona Ratke,439-152-2703,Wilona Wilkins,534-118-4231,Blue Buffalo,1.51,twice a day,113.1,3 times a week,7.7,friendly,stuffed animal,carrot,low
49,Kendre,bird,Siamese,6,75.4,orange,5/31/2002,Kendre Bassingden,kkopje1c@cargocollective.com,0 Transport Crossing,Cẩm Phả,,Vietnam,,true,true,2857253371,Kendre Rubi,816-378-0305,Kendre Kopje,717-113-1908,Purina,1.94,once a day,41.7,3 times a week,7.1,calm,stuffed animal,dog biscuit,high
50,Feliza,bird,Parakeet,17,89.9,orange,9/13/2004,Feliza Loachhead,falbarez1d@hhs.gov,214 Darwin Circle,Załuski,,Poland,09-142,true,true,1750268912,Feliza Rable,194-510-0163,Feliza Albarez,301-546-4762,Hill's Science Diet,3.83,once a day,100.5,3 times a week,13.2,energetic,chew toy,fish flakes,low
51,Bail,dog,Siamese,5,27.6,gray,11/26/2014,Bail Kemet,bjocic1e@nps.gov,31 Linden Court,São Miguel,Porto,Portugal,4415-761,false,true,3133635997,Bail Rheaume,161-210-8688,Bail Jocic,216-426-1872,Hill's Science Diet,3.02,once a day,67.2,daily,13.9,shy,laser pointer,fish flakes,moderate
52,Jodie,bird,Parakeet,18,2,brown,4/3/2016,Jodie Mintram,jbick1f@google.de,335 Fairfield Hill,Jincun,,China,,true,true,5816572216,Jodie Attac,690-166-1749,Jodie Bick,982-345-0813,Blue Buffalo,1.93,once a day,93.5,daily,21.8,calm,ball,dog biscuit,moderate
53,Ailee,cat,Siamese,2,16.5,black,8/18/2019,Ailee Thurber,aconyers1g@phpbb.com,64 Cottonwood Point,Tambobamba,,Peru,,false,false,5257036008,Ailee Dumbrall,893-702-9173,Ailee Conyers,137-154-0121,Blue Buffalo,4.33,three times a day,67.4,daily,11.3,playful,laser pointer,carrot,moderate
54,Jemimah,bird,Siamese,20,0.1,brown,4/7/2015,Jemimah Selwyn,jhall1h@nydailynews.com,76870 Pearson Way,Panjakent,,Tajikistan,,true,false,5980139024,Jemimah Whichelow,329-195-8155,Jemimah Hall,183-487-1539,Purina,8.9,once a day,52.9,weekly,0.6,playful,feather wand,bird seed,low
55,Sunny,cat,Siamese,9,52.8,black,4/19/2014,Sunny Stearn,shonack1i@gmpg.org,5 Independence Park,El Tránsito,,Honduras,,true,false,3223939575,Sunny Exell,190-183-4027,Sunny Honack,936-607-5596,Purina,0.44,three times a day,8.7,daily,10.5,shy,chew toy,carrot,moderate
56,Vidovic,dog,Holland Lop,8,88.9,gray,2/21/2017,Vidovic McVeagh,vchatenet1j@seattletimes.com,5607 Sycamore Parkway,Pengdian,,China,,false,true,6154929009,Vidovic Culshew,363-522-4759,Vidovic Chatenet,817-982-9561,Blue Buffalo,2.05,once a day,99.5,weekly,10.3,energetic,feather wand,carrot,moderate
57,Garland,rabbit,Parakeet,8,99.7,gray,3/23/2013,Garland Maken,gclist1k@yale.edu,14 Buell Pass,Puerto Madryn,,Argentina,9120,true,true,4186714798,Garland Feron,870-548-3660,Garland Clist,541-868-0454,Purina,8.38,once a day,68.5,weekly,12.7,playful,feather wand,carrot,high
58,Izaak,fish,Siamese,17,74.4,gray,12/2/2010,Izaak Loble,imillson1l@goo.gl,51 Burning Wood Parkway,Rautalampi,,Finland,77700,false,false,2061648640,Izaak Hurrion,856-955-9843,Izaak Millson,495-985-9371,Iams,3.47,twice a day,94.1,3 times a week,12.9,shy,feather wand,fish flakes,low
59,Flint,dog,Siamese,12,15.9,gray,10/22/2013,Flint Swale,fletessier1m@sitemeter.com,00373 Northridge Way,Corredoura,Setúbal,Portugal,2970-079,false,true,8669685088,Flint Haddow,996-378-8184,Flint Letessier,891-655-9681,Royal Canin,0.9,twice a day,10.8,3 times a week,0.1,calm,laser pointer,catnip,high
60,Terrance,rabbit,Holland Lop,2,42.3,brown,10/20/2006,Terrance Roust,tcholmondeley1n@craigslist.org,42975 Everett Alley,Gununganyartambak Tengah,,Indonesia,,true,true,6102632775,Terrance Stormont,167-563-7830,Terrance Cholmondeley,619-695-4078,Royal Canin,7.71,three times a day,72.7,daily,5.5,friendly,ball,dog biscuit,high
61,Henrie,cat,Goldfish,16,12.2,gray,1/8/2016,Henrie Fenelon,hsesons1o@hugedomains.com,77 Raven Terrace,Carlos Casares,,Argentina,6530,true,false,8129057492,Henrie Minchella,602-443-7222,Henrie Sesons,220-360-5566,Purina,8.09,twice a day,60.5,weekly,15.1,energetic,chew toy,catnip,low
62,Erinn,dog,Parakeet,9,80.3,white,4/25/2004,Erinn Ferrige,emulliner1p@cmu.edu,987 Jay Crossing,Canoinhas,,Brazil,89460-000,true,false,9527919240,Erinn Dood,996-720-4584,Erinn Mulliner,715-240-6426,Purina,9.27,twice a day,59.7,daily,18.8,calm,laser pointer,dog biscuit,moderate
63,Etan,fish,Labrador Retriever,2,59.6,black,3/4/2018,Etan Brigman,ewellington1q@princeton.edu,24 Hintze Junction,Malalag,,Philippines,8010,false,false,8005722627,Etan Dron,345-802-3174,Etan Wellington,300-830-9932,Iams,9.78,twice a day,43.6,weekly,2.3,calm,ball,dog biscuit,high
64,Kinna,rabbit,Labrador Retriever,9,60.8,white,11/15/2006,Kinna Millins,kgoymer1r@nih.gov,26 Monica Road,Dadong’ao,,China,,false,false,8877585403,Kinna Lanchbery,458-251-1169,Kinna Goymer,204-724-1410,Hill's Science Diet,4.52,once a day,42,3 times a week,0.2,shy,ball,fish flakes,low
65,Philbert,cat,Holland Lop,12,75,brown,7/27/2019,Philbert Orts,pnewham1s@sogou.com,2 Garrison Road,Obninsk,,Russia,249039,true,true,1403233635,Philbert Lorain,624-764-5329,Philbert Newham,139-395-8896,Purina,8.91,once a day,107.8,weekly,15.9,shy,chew toy,carrot,low
66,Rowena,bird,Holland Lop,15,40.9,white,4/30/2019,Rowena Dalrymple,rmayward1t@soup.io,1 Lawn Plaza,Puro,,Philippines,5414,true,true,7270928637,Rowena Stiegers,807-798-2405,Rowena Mayward,968-916-8116,Iams,0.24,twice a day,103.7,daily,15.5,playful,chew toy,fish flakes,low
67,Stacy,cat,Holland Lop,11,79.2,gray,1/4/2021,Stacy Swafield,soolahan1u@dyndns.org,1393 Center Hill,Mamoudzou,,Mayotte,97680,true,true,2500267109,Stacy Christensen,328-115-3847,Stacy Oolahan,232-225-9516,Royal Canin,1.27,twice a day,10.8,3 times a week,20.5,friendly,stuffed animal,catnip,low
68,Chere,dog,Parakeet,9,41.2,black,4/12/2020,Chere Croxford,cgooble1v@hhs.gov,0 4th Crossing,Mene de Mauroa,,Venezuela,,true,false,3341675620,Chere Eland,898-249-3290,Chere Gooble,141-377-8229,Hill's Science Diet,5.77,three times a day,43.3,weekly,2.2,friendly,stuffed animal,carrot,low
69,Charlot,fish,Labrador Retriever,2,72.2,brown,1/1/2007,Charlot Chalcraft,crubinfeld1w@discuz.net,80 Tony Pass,Sovetskaya Gavan’,,Russia,682803,true,false,3094190060,Charlot Pargent,738-770-0296,Charlot Rubinfeld,138-464-3939,Hill's Science Diet,1.8,three times a day,78.1,3 times a week,19,energetic,ball,bird seed,high
70,Jacquette,dog,Siamese,11,52,gray,2/6/2010,Jacquette Lequeux,jgoulding1x@soup.io,2 Ridge Oak Park,Peixing,,China,,true,false,2872926140,Jacquette Braz,648-804-5474,Jacquette Goulding,891-401-0713,Royal Canin,6.53,twice a day,112.6,3 times a week,1.7,playful,chew toy,catnip,moderate
71,Agretha,fish,Holland Lop,12,0.3,orange,4/30/2009,Agretha Defont,aridge1y@fda.gov,6610 Birchwood Drive,Haixing,,China,,true,false,5680383222,Agretha Graysmark,907-174-8027,Agretha Ridge,733-719-9054,Iams,2.72,three times a day,0.7,3 times a week,21.6,calm,feather wand,carrot,moderate
72,Fields,cat,Holland Lop,9,73.7,gray,10/15/2010,Fields Mealand,flockhart1z@smh.com.au,16047 Dahle Point,Perpignan,Languedoc-Roussillon,France,66921 CEDEX,true,false,5063076174,Fields Sawkin,117-911-2881,Fields Lockhart,930-382-1998,Blue Buffalo,8.42,three times a day,43.2,daily,23.7,playful,chew toy,fish flakes,moderate
73,Filippo,rabbit,Parakeet,1,53.9,white,10/19/2016,Filippo Dore,fstebbin20@hatena.ne.jp,6 Bartillon Parkway,Huajie,,China,,false,true,4432514520,Filippo Watson,160-672-8324,Filippo Stebbin,934-402-8273,Royal Canin,5.09,once a day,17.3,daily,8.6,energetic,feather wand,fish flakes,moderate
74,Quinn,cat,Siamese,5,35,orange,1/2/2008,Quinn MacEveley,qgwyneth21@quantcast.com,5893 Arrowood Avenue,Magay,,Philippines,6344,true,false,5928895487,Quinn Koppeck,304-751-9895,Quinn Gwyneth,342-175-5408,Hill's Science Diet,1.21,twice a day,106.3,weekly,1,friendly,feather wand,dog biscuit,high
75,Rutherford,dog,Parakeet,1,61.8,black,9/25/2007,Rutherford McGeachy,rpennick22@typepad.com,070 Farragut Junction,Fengmu,,China,,true,false,2925468051,Rutherford Casaroli,125-216-6363,Rutherford Pennick,456-486-6194,Iams,4.67,twice a day,104.2,daily,15.2,shy,stuffed animal,bird seed,low
76,Lombard,rabbit,Holland Lop,8,1.6,brown,9/21/2018,Lombard Backs,ltowndrow23@parallels.com,8 International Place,Tianfen,,China,,false,true,2057515104,Lombard Cornner,192-522-5917,Lombard Towndrow,406-417-5461,Purina,0.35,twice a day,39.3,weekly,10.1,shy,ball,dog biscuit,high
77,Jase,cat,Goldfish,7,3,gray,4/3/2008,Jase Jakubiak,jtressler24@com.com,46606 Grayhawk Lane,Rzhavki,,Russia,141580,true,true,5341639603,Jase Minshall,857-957-6532,Jase Tressler,255-199-7962,Blue Buffalo,7.62,once a day,91.3,3 times a week,8.6,shy,feather wand,catnip,moderate
78,Borg,cat,Goldfish,16,29.1,orange,12/5/2003,Borg Drury,bwailes25@weather.com,2520 Kropf Place,Varoška Rijeka,,Bosnia and Herzegovina,,true,false,9693937151,Borg Mawman,832-527-6919,Borg Wailes,914-961-6165,Iams,5.7,twice a day,42.3,3 times a week,6.4,playful,chew toy,bird seed,low
79,Aili,dog,Siamese,18,61.7,black,7/8/2001,Aili Kehri,alambertazzi26@archive.org,67 Vera Avenue,Wewoloe,,Indonesia,,false,true,4754724435,Aili Pollastrino,893-786-9498,Aili Lambertazzi,330-609-9783,Blue Buffalo,8.86,once a day,67.9,weekly,3.9,shy,stuffed animal,dog biscuit,moderate
80,Granny,bird,Siamese,15,93.1,orange,3/5/2021,Granny Renouf,gclover27@bigcartel.com,164 Orin Avenue,Sukadana Selatan,,Indonesia,,false,true,7053128042,Granny Christiensen,982-756-3790,Granny Clover,948-474-6986,Royal Canin,5.55,twice a day,13.7,daily,4.4,friendly,chew toy,fish flakes,high
81,Ellis,fish,Parakeet,7,18.1,white,8/7/2009,Ellis Mosedall,etamsett28@webnode.com,6 Sutherland Terrace,Barra dos Coqueiros,,Brazil,49140-000,false,true,3962592762,Ellis Grigoriev,511-879-1408,Ellis Tamsett,440-536-3747,Hill's Science Diet,7.57,three times a day,86,weekly,12.3,shy,stuffed animal,bird seed,low
82,Rad,dog,Siamese,12,7.2,orange,1/10/2001,Rad Neligan,rsilkstone29@1und1.de,7874 Pierstorff Road,Yuqunweng,,China,,true,true,8302092945,Rad Hayesman,174-705-8701,Rad Silkstone,821-426-7053,Royal Canin,2.99,three times a day,21,3 times a week,10.8,energetic,laser pointer,carrot,moderate
